Username,ProfileLink,DisplayName,Races,Points,Team
cf3a1158619832a6213d46c39b79df07,https://www.nitromath.com/racer/cf3a1158619832a6213d46c39b79df07,thebestplayer,29,390,TMS
1d546eecb8802284c3fcade9def6551d,https://www.nitromath.com/racer/1d546eecb8802284c3fcade9def6551d,spider man has ris,31,386,CC
6cbc728fe70cca59729f9750561775c8,https://www.nitromath.com/racer/6cbc728fe70cca59729f9750561775c8,I like jesus,22,369,IM2
devejk,https://www.nitromath.com/racer/devejk,devejk,24,368,LEGOLF
syonpadhiyar,https://www.nitromath.com/racer/syonpadhiyar,SyonTheOpTyper,20,354,NTPD1
bolyind34,https://www.nitromath.com/racer/bolyind34,bolyind34,25,347,T2WIN
cuber100000,https://www.nitromath.com/racer/cuber100000,cuber100000,27,325,OT
dough43765783,https://www.nitromath.com/racer/dough43765783,dough43765783,23,322,CC
1ccdbc7e7dd800bdff17dd518d49e4c6,https://www.nitromath.com/racer/1ccdbc7e7dd800bdff17dd518d49e4c6,0 w 0 hacker,20,319,CC
2c04ba806a74ef783247b3ea4f8d2f0b,https://www.nitromath.com/racer/2c04ba806a74ef783247b3ea4f8d2f0b,Peterissofaartking,20,311,JDFU
corsa_ultima,https://www.nitromath.com/racer/corsa_ultima,Lavish X Mateo,154,309,TMS
pogboy3000,https://www.nitromath.com/racer/pogboy3000,Sub2InternetTyperAlt,56,304,IM2
723f290eff19f48213e12f5c463085cd,https://www.nitromath.com/racer/723f290eff19f48213e12f5c463085cd,gjdhxgjdhgja,23,296,JLFU
shekky,https://www.nitromath.com/racer/shekky,Shekky,49,285,T2WIN
c4a40d31c10434b742fff0ca6e026713,https://www.nitromath.com/racer/c4a40d31c10434b742fff0ca6e026713,InnovativeAmethystCattle,32,265,WOLVEZ
soccerswag0333,https://www.nitromath.com/racer/soccerswag0333,Aemilian,31,249,ZH
445566,https://www.nitromath.com/racer/445566,Viral_,116,237,TMS
w0lfyth3b0ss,https://www.nitromath.com/racer/w0lfyth3b0ss,YXNG Viral,82,228,TMS
