Username,ProfileLink,DisplayName,Races,Points,Title,Team
8a964541dafc9c18da2deb18487d6cb2,https://www.nitromath.com/racer/8a964541dafc9c18da2deb18487d6cb2,ohh yeahhh,47,1016,Original Gangster,HIM32
f65bfb5c8efa7e6433d218697414cc1b,https://www.nitromath.com/racer/f65bfb5c8efa7e6433d218697414cc1b,Jbug137130,65,1006,404 Not Found,SERVNT
epic_gamerdtp,https://www.nitromath.com/racer/epic_gamerdtp,eternallytired,62,1005,Legendary Lapper,NTPD1
brynley_bunny,https://www.nitromath.com/racer/brynley_bunny,brynley_bunny,48,996,I Love Cats,LORD
jcsbaconlover,https://www.nitromath.com/racer/jcsbaconlover,Beamng-is-better,32,992,Millionaire,WISD0M
lux248,https://www.nitromath.com/racer/lux248,Cat100cat,57,991,I Love Cats,MATH
hearkenstedfast,https://www.nitromath.com/racer/hearkenstedfast,Fire Speed,47,991,Spring-a-round,X3
popgamez,https://www.nitromath.com/racer/popgamez,popgamez,41,980,Olde School,FUS3
cowniper,https://www.nitromath.com/racer/cowniper,cowniper,100,971,Big Spender,AMATHB
dn3423,https://www.nitromath.com/racer/dn3423,dn3423,42,967,Rudolph Racing,JE4US
bab1d6ee6a929d7bd04d355b82101e04,https://www.nitromath.com/racer/bab1d6ee6a929d7bd04d355b82101e04,DependableCoralCuckoo,50,953,Millionaire,BAG
lukes15415,https://www.nitromath.com/racer/lukes15415,Dragon_Slayer_100,38,947,Ultimate Racer,FASZ
glvnitro,https://www.nitromath.com/racer/glvnitro,-_-Winn3r-_-,35,942,Trail Master,NITR0
abdullahalamri,https://www.nitromath.com/racer/abdullahalamri,abdullahalamri,45,935,Filthy Rich,4MATH
nono13thelad,https://www.nitromath.com/racer/nono13thelad,-AeroAlpha-,40,935,Sweaty Typer,J4UP
33a63850b61d1eb18d54fa6196e89452,https://www.nitromath.com/racer/33a63850b61d1eb18d54fa6196e89452,WonderfulCoffeeFly,47,934,Wampus Thwamper,J4UP
b2ab7d4e911aca3de52f4279fb0e1cb9,https://www.nitromath.com/racer/b2ab7d4e911aca3de52f4279fb0e1cb9,Volcanic,49,913,Nitro Pup,SERVNT
0a333f70dfdc9290f29a6cae2ad336ec,https://www.nitromath.com/racer/0a333f70dfdc9290f29a6cae2ad336ec,ThoughtfulGoldPigeon,66,911,Filthy Rich,DM8TE
shiop7,https://www.nitromath.com/racer/shiop7,shiop7,55,903,Millionaire,J4UP
c50b33ed81f55f8396b2be62a152859c,https://www.nitromath.com/racer/c50b33ed81f55f8396b2be62a152859c,c00l kid team,45,897,Extraterrestrial,PUPBY
clutch1x,https://www.nitromath.com/racer/clutch1x,Keys2TheBlitz,48,895,League Champion,OT
